,Phone Name,Rating ?/5,Number of Ratings,Back/Rare Camera,Front Camera,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
1095,"vivo Y51A (Titanium Sapphire, 128 GB)",4.3,10554,48MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 662 Processor,18490,2023-06-17,vivo,8.0,128,5000
1096,"vivo Y51A (Titanium Sapphire, 128 GB)",4.3,3241,48MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 662 Processor,16990,2023-06-17,vivo,6.0,128,5000
1097,"Nothing Phone (1) (White, 256 GB)",4.4,69103,50MP + 50MP,16MP Front Camera,Qualcomm Snapdragon 778G+ Processor,32499,2023-06-17,Nothing,8.0,256,4500
1098,"Nothing Phone (1) (Black, 256 GB)",4.4,69103,50MP + 50MP,16MP Front Camera,Qualcomm Snapdragon 778G+ Processor,31999,2023-06-17,Nothing,8.0,256,4500
1099,"Nothing Phone (1) (Black, 128 GB)",4.4,69103,50MP + 50MP,16MP Front Camera,Qualcomm Snapdragon 778G+ Processor,29999,2023-06-17,Nothing,8.0,128,4500
1100,"Nothing Phone (1) (White, 256 GB)",4.3,7163,50MP + 50MP,16MP Front Camera,Qualcomm Snapdragon 778G+ Processor,35999,2023-06-17,Nothing,12.0,256,4500
1101,"Nothing Phone (1) (Black, 256 GB)",4.3,7163,50MP + 50MP,16MP Front Camera,Qualcomm Snapdragon 778G+ Processor,35999,2023-06-17,Nothing,12.0,256,4500
1107,"Mi 10T (Cosmic Black, 128 GB)",4.2,4034,64MP + 13MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 865 Processor,23990,2023-06-17,Mi,6.0,128,5000
1110,"Mi 11 Lite (Vinyl Black, 128 GB)",4.2,6098,64MP + 8MP + 5MP,16MP Front Camera,Qualcomm Snapdragon 732G Processor,18999,2023-06-17,Mi,8.0,128,4250
1111,"Mi 11 Lite (Jazz Blue, 128 GB)",4.2,6098,64MP + 8MP + 5MP,16MP Front Camera,Qualcomm Snapdragon 732G Processor,18999,2023-06-17,Mi,8.0,128,4250
1112,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",4.2,12062,108MP + 8MP + 2MP,16MP Front Camera,Mediatek Dimensity 920 Processor,23999,2023-06-17,Mi,6.0,128,4500
1114,"Redmi Note 6 Pro (Black, 64 GB)",4.5,626254,12MP + 5MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 636 Processor,15999,2023-06-17,REDMI,4.0,64,4000
1115,"Redmi Note 6 Pro (Red, 64 GB)",4.5,626254,12MP + 5MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 636 Processor,15999,2023-06-17,REDMI,4.0,64,4000
1116,"Redmi Go (Black, 8 GB)",4.3,167942,8MP Rear Camera,5MP Front Camera,Qualcomm Snapdragon 425 Processor,5999,2023-06-17,REDMI,1.0,8,3000
1117,"Redmi Note 6 Pro (Rose Gold, 64 GB)",4.5,127672,12MP + 5MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 636 Processor,17999,2023-06-17,REDMI,6.0,64,4000
1118,"Redmi Note 6 Pro (Red, 64 GB)",4.5,127672,12MP + 5MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 636 Processor,17999,2023-06-17,REDMI,6.0,64,4000
1119,"Redmi Go (Blue, 16 GB)",4.3,167942,8MP Rear Camera,5MP Front Camera,Qualcomm Snapdragon 425 Processor,5999,2023-06-17,REDMI,1.0,16,3000
1121,"Mi 11 Lite (Vinyl Black, 128 GB)",4.2,13149,64MP + 8MP + 5MP,16MP Front Camera,Qualcomm Snapdragon 732G Processor,18985,2023-06-17,Mi,6.0,128,4250
