,Rating ?/5,Number of Ratings,Price in INR,Ram_size,Storage_size,Battery_size,Company_name,Company_name
142,4.3,16739,11699,6.0,128.0,5000.0,15,15
143,4.3,9393,23999,8.0,128.0,5000.0,15,15
144,4.3,77321,11499,6.0,64.0,5000.0,15,15
145,4.3,77321,11499,6.0,64.0,5000.0,15,15
146,4.4,70506,17999,6.0,128.0,5000.0,15,15
147,4.3,28717,15999,8.0,128.0,5000.0,15,15
148,4.3,60355,12999,6.0,64.0,5000.0,15,15
149,4.3,11117,12999,8.0,128.0,4200.0,15,15
150,4.2,6505,8499,4.0,64.0,5000.0,15,15
151,4.3,4676,17999,8.0,128.0,5000.0,15,15
152,4.4,32551,19999,8.0,128.0,4500.0,15,15
153,4.5,41495,13499,4.0,64.0,5000.0,15,15
154,4.5,41495,13499,4.0,64.0,5000.0,15,15
155,4.4,72333,9499,3.0,32.0,5000.0,15,15
156,4.1,1238,11199,4.0,64.0,5000.0,15,15
157,4.2,6505,9290,4.0,64.0,5000.0,15,15
158,4.3,19257,34999,6.0,128.0,5000.0,15,15
